sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,,,,,,Whose years?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,A2CK4EBWLXYOV1,,How much /How many years?,between eight and seventeen,,How much /How many years?,between eight and seventeen
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,AZC7J87AH18DW,,How much /How many years?,between eight and seventeen,,How much /How many years?,between eight and seventeen
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,A2CK4EBWLXYOV1,,What kind of years?,of age,,What kind of years?,of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,AZC7J87AH18DW,,What kind of years?,of age,,What kind of years?,of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,A2CK4EBWLXYOV1,,Whose age?,three females,,Whose age?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,AZC7J87AH18DW,,Whose age?,three females,,Whose age?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,A2CK4EBWLXYOV1,,What/Who is (the) age?,between eight and seventeen,,What/Who is (the) age?,between eight and seventeen years
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,,,,,,When is the age?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) counts?,indecent assault,,What kind of counts?,of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,A2CK4EBWLXYOV1,,What kind of counts?,of indecent assault,,What kind of counts?,of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,,,,,,Whose counts?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,,,,,cause,What is the [PROPERTY] of (the) counts?,alleged events between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,AZC7J87AH18DW,,How much /How many counts?,three,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,A2CK4EBWLXYOV1,,How much /How many counts?,three,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,,,,,What/Who is (the) indecent?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,AZC7J87AH18DW,,What/Who is (the) indecent?,assault,,What kind of indecent?,assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,,,,,When is the indecent?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,,,,result,What is the [PROPERTY] of (the) indecent?,charged with three counts of indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,,,,,,What/Who is a part/member of indecent?,involving three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,What kind of assault?,indecent,,What kind of assault?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,What kind of assault?,indecent,,What kind of assault?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,When is the assault?,between 1974 and 1984,,When is the assault?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,Whose assault?,Hall,,Whose assault?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,victim,What is the [PROPERTY] of (the) assault?,three females between eight and seventeen years of age,,What/Who is a part/member of assault?,three females between eight and seventeen years of age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,,,,,consequence,What is the [PROPERTY] of (the) assault?,arrested
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,How much /How many assault?,three counts,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,How much /How many assault?,three,,,
Jenny cognitively assesses the snake in her presence .,snake,,,,,,Where is the snake?,in her presence
Jenny cognitively assesses the snake in her presence .,presence,A2CK4EBWLXYOV1,,Whose presence?,Jenny,,Whose presence?,Jenny
Jenny cognitively assesses the snake in her presence .,presence,AZC7J87AH18DW,,Whose presence?,Jenny,,Whose presence?,Jenny
Jenny cognitively assesses the snake in her presence .,presence,,,,,,What/Who is a part/member of presence?,the snake
They do not prepare food and live only on what people offer them .,food,,,,,source,What is the [PROPERTY] of (the) food?,people
They do not prepare food and live only on what people offer them .,people,,,,,offering,What is the [PROPERTY] of (the) people?,food
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,A2CK4EBWLXYOV1,content,What is the [PROPERTY] of (the) information?,on the whereabouts of our family members,subject,What is the [PROPERTY] of (the) information?,the whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) information?,the whereabouts of our family members,subject,What is the [PROPERTY] of (the) information?,the whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,,,,,,Whose information?,one weeping woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,A2CK4EBWLXYOV1,,Whose whereabouts?,our family members,,Whose whereabouts?,our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,AZC7J87AH18DW,,Whose whereabouts?,our family members,,Whose whereabouts?,our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,AZC7J87AH18DW,,Whose family?,one weeping woman at Juanda,,Whose family?,one weeping woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,AZC7J87AH18DW,,Whose family?,our,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,A2CK4EBWLXYOV1,,Whose family?,woman,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,AZC7J87AH18DW,,What is the members a part/member of?,our family,,What is the members a part/member of?,our family
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,,,,,,What/Who is a part/member of members?,one weeping woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,A2CK4EBWLXYOV1,,What kind of members?,family members,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,A2CK4EBWLXYOV1,,Whose members?,woman,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,,,,,action,What is the [PROPERTY] of (the) woman?,weeping
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,A2CK4EBWLXYOV1,,Where is the woman?,Juanda,,Where is the woman?,at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,AZC7J87AH18DW,,Where is the woman?,at Juanda,,Where is the woman?,at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,,,,,,What is the woman a part/member of?,family
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,AZC7J87AH18DW,,How much /How many woman?,one,,,
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,A2CK4EBWLXYOV1,,Whose loss?,Australia,,Whose loss?,Australia
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,,Whose loss?,Australia,,Whose loss?,Australia
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,A2CK4EBWLXYOV1,,What/Who is (the) loss?,50 -- 57,,How much /How many loss?,50 -- 57
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,,How much /How many loss?,50 -- 57,,How much /How many loss?,50 -- 57
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,counterpart,What is the [PROPERTY] of (the) loss?,Canada,,What kind of loss?,to Canada
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,film,,,,,,Whose film?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,AZC7J87AH18DW,nationality,What is the [PROPERTY] of (the) director?,Austrian,,What kind of director?,Austrian
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,A2CK4EBWLXYOV1,ancetry,What is the [PROPERTY] of (the) director?,Austrian,,What kind of director?,Austrian
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,AZC7J87AH18DW,,What/Who is (the) director?,Stefan Ruzowitzky,,What/Who is (the) director?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,A2CK4EBWLXYOV1,,What/Who is (the) director?,Stefan Ruzowitzky,,What/Who is (the) director?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,,,,,status,What is the [PROPERTY] of (the) director?,receive an Academy Award
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,AZC7J87AH18DW,domain,What is the [PROPERTY] of (the) director?,film director,,,
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,A2CK4EBWLXYOV1,,What kind of director?,film director,,,
