sentence,predicate,expert_worker_id,gold_property,gold_question,gold_answer,predicted_property,predicted_question,predicted_answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",complaints,AZC7J87AH18DW,object,What is the [PROPERTY] of (the) complaints?,Hall,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,,When is the events?,between 1974 and 1984,,When is the events?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,A2CK4EBWLXYOV1,,When is the events?,between 1974 and 1984,,When is the events?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,,,,,What/Who is a part/member of events?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,,,,,What/Who is a part/member of events?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,,,,,,What/Who is (the) events?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",events,AZC7J87AH18DW,veracity,What is the [PROPERTY] of (the) events?,alleged,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,AZC7J87AH18DW,,How much /How many females?,three,,How much /How many females?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,A2CK4EBWLXYOV1,,How much /How many females?,three,,How much /How many females?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,,,,,,What is the females a part/member of?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,,,,,,When is the females?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,AZC7J87AH18DW,age,What is the [PROPERTY] of (the) females?,between eight and seventeen years of age,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",females,A2CK4EBWLXYOV1,age,What is the [PROPERTY] of (the) females?,between eight and seventeen,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,A2CK4EBWLXYOV1,,What kind of years?,of age,,What is the years a part/member of?,age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,AZC7J87AH18DW,,What kind of years?,of age,,What is the years a part/member of?,age
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,A2CK4EBWLXYOV1,,How much /How many years?,between eight and seventeen,,How much /How many years?,between eight and seventeen
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,AZC7J87AH18DW,,How much /How many years?,between eight and seventeen,,How much /How many years?,between eight and seventeen
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",years,,,,,,Whose years?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,A2CK4EBWLXYOV1,,Whose age?,three females,,Whose age?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,AZC7J87AH18DW,,Whose age?,three females,,Whose age?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",age,A2CK4EBWLXYOV1,,What/Who is (the) age?,between eight and seventeen,,What/Who is (the) age?,between eight and seventeen
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,AZC7J87AH18DW,,How much /How many counts?,three,,How much /How many counts?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,A2CK4EBWLXYOV1,,How much /How many counts?,three,,How much /How many counts?,three
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) counts?,indecent assault,,What kind of counts?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,A2CK4EBWLXYOV1,,What kind of counts?,of indecent assault,,What kind of counts?,indecent assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",counts,,,,,,Whose counts?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",indecent,AZC7J87AH18DW,,What/Who is (the) indecent?,assault,,What is the indecent a part/member of?,assault
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,When is the assault?,between 1974 and 1984,,When is the assault?,between 1974 and 1984
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,What kind of assault?,indecent,,What kind of assault?,indecent
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,What kind of assault?,indecent,,What kind of assault?,indecent
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,Whose assault?,Hall,,What/Who is a part/member of assault?,Hall
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,A2CK4EBWLXYOV1,,How much /How many assault?,three,,What/Who is a part/member of assault?,three females
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,,How much /How many assault?,three counts,,,
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",assault,AZC7J87AH18DW,victim,What is the [PROPERTY] of (the) assault?,three females between eight and seventeen years of age,,,
Jenny cognitively assesses the snake in her presence .,snake,,,,,,Where is the snake?,her presence
Jenny cognitively assesses the snake in her presence .,presence,A2CK4EBWLXYOV1,,Whose presence?,Jenny,,Where is the presence?,Jenny
Jenny cognitively assesses the snake in her presence .,presence,AZC7J87AH18DW,,Whose presence?,Jenny,,Where is the presence?,Jenny
Jenny cognitively assesses the snake in her presence .,presence,,,,,,What/Who is (the) presence?,snake
They do not prepare food and live only on what people offer them .,food,,,,,,What kind of food?,what people offer them
They do not prepare food and live only on what people offer them .,people,,,,,property,What is the [PROPERTY] of (the) people?,food
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,A2CK4EBWLXYOV1,content,What is the [PROPERTY] of (the) information?,on the whereabouts of our family members,,What kind of information?,whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",information,AZC7J87AH18DW,content,What is the [PROPERTY] of (the) information?,the whereabouts of our family members,,What kind of information?,whereabouts of our family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,A2CK4EBWLXYOV1,,Whose whereabouts?,our family members,,What/Who is a part/member of whereabouts?,family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,AZC7J87AH18DW,,Whose whereabouts?,our family members,,What/Who is a part/member of whereabouts?,family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,A2CK4EBWLXYOV1,,Whose whereabouts?,our family members,,Whose whereabouts?,family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",whereabouts,AZC7J87AH18DW,,Whose whereabouts?,our family members,,Whose whereabouts?,family members
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,AZC7J87AH18DW,,Whose family?,one weeping woman at Juanda,,Whose family?,woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,AZC7J87AH18DW,,Whose family?,our,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",family,A2CK4EBWLXYOV1,,Whose family?,woman,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,AZC7J87AH18DW,,What is the members a part/member of?,our family,,What is the members a part/member of?,family
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,A2CK4EBWLXYOV1,,What kind of members?,family members,,What is the members a part/member of?,family
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,,,,,,Whose members?,woman at Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",members,A2CK4EBWLXYOV1,,Whose members?,woman,,,
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,A2CK4EBWLXYOV1,,Where is the woman?,Juanda,,Where is the woman?,Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,AZC7J87AH18DW,,Where is the woman?,at Juanda,,Where is the woman?,Juanda
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,,,,,,What is the woman a part/member of?,family
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,,,,,recipient,What is the [PROPERTY] of (the) woman?,Antara
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",woman,AZC7J87AH18DW,,How much /How many woman?,one,,,
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,A2CK4EBWLXYOV1,,Whose loss?,Australia,,Whose loss?,Australia
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,,Whose loss?,Australia,,Whose loss?,Australia
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,A2CK4EBWLXYOV1,,What/Who is (the) loss?,50 -- 57,,,
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,,How much /How many loss?,50 -- 57,,,
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",loss,AZC7J87AH18DW,counterpart,What is the [PROPERTY] of (the) loss?,Canada,,,
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,film,,,,,,What/Who is a part/member of film?,director
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,film,,,,,,What/Who is a part/member of film?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,AZC7J87AH18DW,,What/Who is (the) director?,Stefan Ruzowitzky,,What/Who is (the) director?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,A2CK4EBWLXYOV1,,What/Who is (the) director?,Stefan Ruzowitzky,,What/Who is (the) director?,Stefan Ruzowitzky
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,,,,,honor,What is the [PROPERTY] of (the) director?,Academy Award
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,AZC7J87AH18DW,nationality,What is the [PROPERTY] of (the) director?,Austrian,,,
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,AZC7J87AH18DW,domain,What is the [PROPERTY] of (the) director?,film director,,,
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,A2CK4EBWLXYOV1,,What kind of director?,film director,,,
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,director,A2CK4EBWLXYOV1,ancetry,What is the [PROPERTY] of (the) director?,Austrian,,,
